Info					LAZARUS							OFFICIAL							CHANGES																LEVEL - UP MOVES																											EGG MOVES																	TM/HM MOVES																																						MOVE TUTOR MOVES																								POKEDEX STATS							
Name	Nat #	#	Type		HP	ATK	DEF	SPA	SPD	SPE	BST	HP	ATK	DEF	SPA	SPD	SPE	BST	HP	ATK	DEF	SPA	SPD	SPE	BST	Ability 1	Ability 2	Hidden Ability	Evolution	Item 1 - 50%	Item 2 - 5%	Location	Egg Groups		Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 18	Move 19	Move 20	Move 21	Move 22	Move 23	Move 23	Move 24	Move 25	Move 26	Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 18	Move 19	Move 20	Move 21	Move 22	Move 23	Move 24	Move 25	Move 26	Move 27	Move 28	Move 29	Move 30	Move 31	Move 32	Move 33	Move 34	Move 35	Move 36	Move 37	Move 38	Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 18	Move 19	Move 20	Move 21	Move 22	Move 23	Sprite #	EV Yield	Height (m)	Weight (kg)	Base Exp.	Catch Rate	Egg Cycles	Base Friendship	Growth Rate
Quilladin	651	11	Grass		61	78	95	56	58	57	405	61	78	95	56	58	57	405	0	0	0	0	0	0	0	Overgrow	Long Reach	Spiked Shell	Lv. 16			Chespin (evolve)	Field	Field	Evo, Needle Arm	1, Tackle	1, Growl	5, Vine Whip	8, Rollout	11, Bite	15, Leech Seed	18, Pin Missile	24, Mud Shot	27, Vital Throw	32, Seed Bomb	35, Dig	39, Bulk Up	42, Body Slam	45, Pain Split	48, Wood Hammer												Synthesis	Belly Drum	Curse	Quick Guard	Spikes	Defense Curl	Rollout	Power-Up Punch										TM06 - Toxic	TM08 - Bulk Up	TM09 - Bullet Seed	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM18 - Rain Dance	TM19 - Giga Drain	TM20 - Poison Jab	TM22 - Solar Beam	TM28 - Dig	TM31 - Brick Break	TM32 - Double Team	TM33 - Reflect	TM36 - Sludge Bomb	TM39 - Rock Tomb	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM49 - Bulldoze	TM53 - Power-Up Punch	HM01 - Cut	HM04 - Strength	HM05 - Flash	HM06 - Rock Smash													Body Slam	Defense Curl	Endure	Rock Slide	Rollout	Sleep Talk	Snore	Swagger	Swift	Swords Dance	Thunder Punch													651	2 Def	0.7	29.0	142	45	20	50	Medium Slow
Chesnaught	652	12	Grass	Fighting	88	107	122	74	75	64	530	88	107	122	74	75	64	530	0	0	0	0	0	0	0	Overgrow	Long Reach	Spiked Shell	Lv. 36			Quilladin (evolve)	Field	Field	Evo, Spiky Shield	1, Needle Arm	1, Hammer Arm	1, Feint	1, Belly Drum	1, Growl	1, Tackle	5, Vine Whip	8, Rollout	11, Bite	15, Leech Seed	18, Pin Missile	24, Mud Shot	27, Vital Throw	32, Seed Bomb	35, Dig	39, Bulk Up	42, Body Slam	45, Pain Split	48, Wood Hammer	52, Hammer Arm	58, Giga Impact						Synthesis	Belly Drum	Curse	Quick Guard	Spikes	Defense Curl	Rollout	Power-Up Punch										TM02 - Dragon Claw	TM06 - Toxic	TM08 - Bulk Up	TM09 - Bullet Seed	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM18 - Rain Dance	TM19 - Giga Drain	TM20 - Poison Jab	TM22 - Solar Beam	TM26 - Earthquake	TM28 - Dig	TM31 - Brick Break	TM32 - Double Team	TM33 - Reflect	TM36 - Sludge Bomb	TM39 - Rock Tomb	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM49 - Bulldoze	TM53 - Power-Up Punch	HM01 - Cut	HM04 - Strength	HM05 - Flash	HM06 - Rock Smash											Body Slam	Defense Curl	Double-Edge	Endure	Mud-Slap	Rock Slide	Rollout	Sleep Talk	Snore	Swagger	Swift	Swords Dance	Thunder Punch											652	3 Def	1.6	90.0	265	45	20	50	Medium Slow
Fennekin	653	13	Fire		40	45	40	62	60	60	307	40	45	40	62	60	60	307	0	0	0	0	0	0	0	Blaze	Magician	Tangling Hair				Starter, 135 Unique Species (event) Sea of Asteri E (wild)	Field	Field	1, Scratch	1, Tail Whip	5, Ember	11, Howl	14, Flame Charge	17, Psybeam	20, Fire Spin	23, Nuzzle	25, Lucky Chant	27, Light Screen	31, Psyshock	35, Flamethrower	38, Will-O-Wisp	41, Psychic	43, Sunny Day	46, Magic Room	48, Fire Blast											Wish	Hypnosis	Heat Wave	Magic Coat	Psychic Terrain													TM01 - Wish	TM04 - Calm Mind	TM05 - Psyshock	TM06 - Toxic	TM11 - Sunny Day	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM22 - Solar Beam	TM29 - Psychic	TM32 - Double Team	TM35 - Flamethrower	TM38 - Fire Blast	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM48 - Skill Swap	TM51 - Will-O-Wisp	TM53 - Power-Up Punch	HM01 - Cut																		Dream Eater	Endure	Mud-Slap	Psych Up	Sleep Talk	Snore	Swagger	Swift																653	1 Sp. Atk	0.4	9.4	61	45	20	50	Medium Slow
Braixen	654	14	Fire		59	59	58	90	70	73	409	59	59	58	90	70	73	409	0	0	0	0	0	0	0	Blaze	Magician	Tangling Hair	Lv. 16			Fennekin (evolve)	Field	Field	Evo, Magical Leaf	1, Scratch	1, Tail Whip	5, Ember	11, Howl	14, Flame Charge	17, Psybeam	20, Fire Spin	23, Nuzzle	25, Lucky Chant	27, Light Screen	31, Psyshock	35, Flamethrower	38, Will-O-Wisp	41, Psychic	43, Sunny Day	46, Magic Room	48, Fire Blast										Wish	Hypnosis	Heat Wave	Magic Coat	Psychic Terrain													TM01 - Wish	TM04 - Calm Mind	TM05 - Psyshock	TM06 - Toxic	TM11 - Sunny Day	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM22 - Solar Beam	TM29 - Psychic	TM32 - Double Team	TM34 - Shock Wave	TM35 - Flamethrower	TM38 - Fire Blast	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM48 - Skill Swap	TM51 - Will-O-Wisp	TM53 - Power-Up Punch	HM01 - Cut																	Dream Eater	Endure	Fire Punch	Mud-Slap	Psych Up	Sleep Talk	Snore	Swagger	Swift	Thunder Punch														654	2 Sp. Atk	1.0	14.5	143	45	20	50	Medium Slow
Delphox	655	15	Fire	Psychic	85	69	72	114	100	94	534	75	69	72	114	100	104	534	10	0	0	0	0	-10	0	Blaze	Magician	Tangling Hair	Lv. 36			Braixen (evolve)	Field	Field	Evo, Mystical Fire	1, Moongeist Beam	1, Magical Leaf	1, Scratch	1, Tail Whip	5, Ember	11, Howl	14, Flame Charge	17, Psybeam	20, Fire Spin	23, Nuzzle	25, Lucky Chant	27, Light Screen	31, Psyshock	35, Flamethrower	38, Will-O-Wisp	41, Psychic	43, Sunny Day	46, Magic Room	48, Fire Blast	52, Moongeist Beam	55, Moonblast	58, Future Sight					Wish	Hypnosis	Heat Wave	Magic Coat	Psychic Terrain													TM01 - Wish	TM04 - Calm Mind	TM05 - Psyshock	TM06 - Toxic	TM11 - Sunny Day	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM22 - Solar Beam	TM23 - Hex	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM33 - Reflect	TM34 - Shock Wave	TM35 - Flamethrower	TM38 - Fire Blast	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM48 - Skill Swap	TM51 - Will-O-Wisp	TM53 - Power-Up Punch	TM54 - Dazzling Gleam	HM01 - Cut													Dream Eater	Endure	Fire Punch	Metronome	Mud-Slap	Psych Up	Sleep Talk	Snore	Swagger	Swift	Thunder Punch													655	3 Sp. Atk	1.5	39.0	267	45	20	50	Medium Slow
Froakie	656	16	Water		41	56	40	62	44	71	314	41	56	40	62	44	71	314	0	0	0	0	0	0	0	Torrent	Water Bubble	Protean				Starter, 135 Unique Species (event) Sea of Asteri E (wild)	Water 1	Water 1	1, Pound	1, Growl	5, Bubble	8, Quick Attack	10, Lick	14, Water Pulse	18, Smokescreen	21, Round	25, Fling	29, Smack Down	33, Uproar	35, Substitute	38, Bounce	41, Double Team	44, Dark Pulse	48, Hydro Pump												Bestow	Mind Reader	Toxic Spikes	Mud Sport	Camouflage	Water Sport	Power-Up Punch											TM03 - Water Pulse	TM06 - Toxic	TM12 - Taunt	TM13 - Ice Beam	TM14 - Blizzard	TM17 - Protect	TM18 - Rain Dance	TM28 - Dig	TM32 - Double Team	TM39 - Rock Tomb	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM53 - Power-Up Punch	TM56 - Scald	HM01 - Cut	HM03 - Surf	HM04 - Strength	HM06 - Rock Smash	HM07 - Waterfall	HM08 - Dive																Counter	Endure	Icy Wind	Mud-Slap	Rock Slide	Sleep Talk	Snore	Swagger	Swift															656	1 Spe	0.3	7.0	63	45	20	50	Medium Slow
Frogadier	657	17	Water		54	63	52	83	56	97	405	54	63	52	83	56	97	405	0	0	0	0	0	0	0	Torrent	Water Bubble	Protean	Lv. 16			Froakie (evolve)	Water 1	Water 1	Evo, Shadow Sneak	1, Pound	1, Growl	5, Bubble	8, Quick Attack	10, Lick	14, Water Pulse	18, Smokescreen	21, Round	25, Fling	29, Smack Down	33, Uproar	35, Substitute	38, Bounce	41, Double Team	44, Dark Pulse	48, Hydro Pump											Bestow	Mind Reader	Toxic Spikes	Mud Sport	Camouflage	Water Sport	Power-Up Punch											TM03 - Water Pulse	TM06 - Toxic	TM12 - Taunt	TM13 - Ice Beam	TM14 - Blizzard	TM17 - Protect	TM18 - Rain Dance	TM28 - Dig	TM32 - Double Team	TM39 - Rock Tomb	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM53 - Power-Up Punch	TM56 - Scald	TM59 - Dark Pulse	HM01 - Cut	HM03 - Surf	HM04 - Strength	HM06 - Rock Smash	HM07 - Waterfall	HM08 - Dive															Counter	Endure	Ice Punch	Icy Wind	Mud-Slap	Rock Slide	Sleep Talk	Snore	Swagger	Swift	Swords Dance													657	2 Spe	0.6	10.9	142	45	20	50	Medium Slow
Greninja	658	18	Water	Dark	72	95	67	103	71	122	530	72	95	67	103	71	122	530	0	0	0	0	0	0	0	Torrent	Water Bubble	Protean	Lv. 36			Frogadier (evolve)	Water 1	Water 1	Evo, Water Shuriken	1, Night Slash	1, Haze	1, Role Play	1, Mat Block	1, Shadow Sneak	1, Pound	1, Growl	5, Bubble	8, Quick Attack	10, Lick	14, Water Pulse	18, Smokescreen	21, Round	25, Fling	29, Smack Down	33, Uproar	35, Substitute	38, Bounce	41, Double Team	44, Dark Pulse	47, Extrasensory	50, Hydro Pump	53, Haze	55, Night Slash	58, Bouncy Bubble		Bestow	Mind Reader	Toxic Spikes	Mud Sport	Camouflage	Water Sport	Power-Up Punch											TM03 - Water Pulse	TM06 - Toxic	TM12 - Taunt	TM13 - Ice Beam	TM14 - Blizzard	TM17 - Protect	TM18 - Rain Dance	TM28 - Dig	TM31 - Brick Break	TM32 - Double Team	TM39 - Rock Tomb	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM53 - Power-Up Punch	TM56 - Scald	TM59 - Dark Pulse	HM01 - Cut	HM03 - Surf	HM04 - Strength	HM06 - Rock Smash	HM07 - Waterfall	HM08 - Dive														Counter	Endure	Ice Punch	Icy Wind	Mud-Slap	Rock Slide	Sleep Talk	Snore	Swagger	Swift	Swords Dance													658	3 Spe	1.5	40.0	265	45	20	50	Medium Slow
Sprigatito	906	19	Grass		40	61	54	45	45	65	310	40	61	54	45	45	65	310	0	0	0	0	0	0	0	Overgrow	Unnerve	Protean				Starter, 170 Unique Species (event) Sea of Vulcai (wild)	Field	Grass	1, Scratch	1, Tail Whip	1, Leafage	7, Bite	10, Hone Claws	13, Magical Leaf	15, Quick Attack	17, Seed Bomb	21, U-Turn	25, Worry Seed	28, Slash	32, Energy Ball	36, Play Rough															Ally Switch	Copycat	Leech Seed	Petal Blizzard	Sucker Punch													TM09 - Bullet Seed	TM12 - Taunt	TM17 - Protect	TM19 - Giga Drain	TM22 - Solar Beam	TM42 - Facade	TM44 - Rest																																Endure	Mud-Slap	Sleep Talk	Swift																				906	1 Spe	0.4	4.1	62	45	20	50	Medium Slow
Floragato	907	20	Grass		61	80	63	60	63	83	410	61	80	63	60	63	83	410	0	0	0	0	0	0	0	Overgrow	Unnerve	Protean	Lv. 16			Sprigatito (evolve)	Field	Grass	1, Scratch	1, Tail Whip	1, Leafage	7, Bite	10, Hone Claws	13, Magical Leaf	15, Quick Attack	20, Seed Bomb	24, U-Turn	28, Worry Seed	33, Slash	38, Energy Ball	42, Play Rough	46, Leaf Storm														Ally Switch	Copycat	Leech Seed	Petal Blizzard	Sucker Punch													TM09 - Bullet Seed	TM12 - Taunt	TM17 - Protect	TM19 - Giga Drain	TM22 - Solar Beam	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest																															Endure	Mud-Slap	Sleep Talk	Swift	Thunder Punch																			907	2 Spe	0.9	12.2	144	45	20	50	Medium Slow
Meowscarada	908	21	Grass	Dark	76	110	70	81	70	123	530	76	110	70	81	70	123	530	0	0	0	0	0	0	0	Overgrow	Unnerve	Protean	Lv. 36			Floragato (evolve)	Field	Grass	Evo, Flower Trick	1, Double Team	1, Trick	1, Leafage	1, Scratch	1, Tail Whip	7, Bite	10, Hone Claws	13, Magical Leaf	15, Quick Attack	20, Seed Bomb	24, U-Turn	29, Worry Seed	33, Slash	38, Night Slash	40, Energy Ball	43, Play Rough	46, Knock Off	50, Grassy Terrain	55, Leaf Storm								Ally Switch	Copycat	Leech Seed	Petal Blizzard	Sucker Punch													TM09 - Bullet Seed	TM12 - Taunt	TM17 - Protect	TM19 - Giga Drain	TM22 - Solar Beam	TM30 - Shadow Ball	TM31 - Brick Break	TM32 - Double Team	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM46 - Thief	TM48 - Skill Swap	TM59 - Dark Pulse																									Endure	Mud-Slap	Psych Up	Sleep Talk	Swift	Thunder Punch																		908	3 Spe	1.5	31.2	265	45	20	50	Medium Slow
